name	lambda_nm	value
cie-x	360.000000000000	0.000129900000000000
cie-x	361.000000000000	0.000145847000000000
cie-x	362.000000000000	0.000163802100000000
cie-x	363.000000000000	0.000184003700000000
cie-x	364.000000000000	0.000206690200000000
cie-x	365.000000000000	0.000232100000000000
cie-x	366.000000000000	0.000260728000000000
cie-x	367.000000000000	0.000293075000000000
cie-x	368.000000000000	0.000329388000000000
cie-x	369.000000000000	0.000369914000000000
cie-x	370.000000000000	0.000414900000000000
cie-x	371.000000000000	0.000464158700000000
cie-x	372.000000000000	0.000518986000000000
cie-x	373.000000000000	0.000581854000000000
cie-x	374.000000000000	0.000655234700000000
cie-x	375.000000000000	0.000741600000000000
cie-x	376.000000000000	0.000845029600000000
cie-x	377.000000000000	0.000964526800000000
cie-x	378.000000000000	0.00109494900000000
cie-x	379.000000000000	0.00123115400000000
cie-x	380.000000000000	0.00136800000000000
cie-x	381.000000000000	0.00150205000000000
cie-x	382.000000000000	0.00164232800000000
cie-x	383.000000000000	0.00180238200000000
cie-x	384.000000000000	0.00199575700000000
cie-x	385.000000000000	0.00223600000000000
cie-x	386.000000000000	0.00253538500000000
cie-x	387.000000000000	0.00289260300000000
cie-x	388.000000000000	0.00330082900000000
cie-x	389.000000000000	0.00375323600000000
cie-x	390.000000000000	0.00424300000000000
cie-x	391.000000000000	0.00476238900000000
cie-x	392.000000000000	0.00533004800000000
cie-x	393.000000000000	0.00597871200000000
cie-x	394.000000000000	0.00674111700000000
cie-x	395.000000000000	0.00765000000000000
cie-x	396.000000000000	0.00875137300000000
cie-x	397.000000000000	0.0100288800000000
cie-x	398.000000000000	0.0114217000000000
cie-x	399.000000000000	0.0128690100000000
cie-x	400.000000000000	0.0143100000000000
cie-x	401.000000000000	0.0157044300000000
cie-x	402.000000000000	0.0171474400000000
cie-x	403.000000000000	0.0187812200000000
cie-x	404.000000000000	0.0207480100000000
cie-x	405.000000000000	0.0231900000000000
cie-x	406.000000000000	0.0262073600000000
cie-x	407.000000000000	0.0297824800000000
cie-x	408.000000000000	0.0338809200000000
cie-x	409.000000000000	0.0384682400000000
cie-x	410.000000000000	0.0435100000000000
cie-x	411.000000000000	0.0489956000000000
cie-x	412.000000000000	0.0550226000000000
cie-x	413.000000000000	0.0617188000000000
cie-x	414.000000000000	0.0692120000000000
cie-x	415.000000000000	0.0776300000000000
cie-x	416.000000000000	0.0869581100000000
cie-x	417.000000000000	0.0971767200000000
cie-x	418.000000000000	0.108406300000000
cie-x	419.000000000000	0.120767200000000
cie-x	420.000000000000	0.134380000000000
cie-x	421.000000000000	0.149358200000000
cie-x	422.000000000000	0.165395700000000
cie-x	423.000000000000	0.181983100000000
cie-x	424.000000000000	0.198611000000000
cie-x	425.000000000000	0.214770000000000
cie-x	426.000000000000	0.230186800000000
cie-x	427.000000000000	0.244879700000000
cie-x	428.000000000000	0.258777300000000
cie-x	429.000000000000	0.271807900000000
cie-x	430.000000000000	0.283900000000000
cie-x	431.000000000000	0.294943800000000
cie-x	432.000000000000	0.304896500000000
cie-x	433.000000000000	0.313787300000000
cie-x	434.000000000000	0.321645400000000
cie-x	435.000000000000	0.328500000000000
cie-x	436.000000000000	0.334351300000000
cie-x	437.000000000000	0.339210100000000
cie-x	438.000000000000	0.343121300000000
cie-x	439.000000000000	0.346129600000000
cie-x	440.000000000000	0.348280000000000
cie-x	441.000000000000	0.349599900000000
cie-x	442.000000000000	0.350147400000000
cie-x	443.000000000000	0.350013000000000
cie-x	444.000000000000	0.349287000000000
cie-x	445.000000000000	0.348060000000000
cie-x	446.000000000000	0.346373300000000
cie-x	447.000000000000	0.344262400000000
cie-x	448.000000000000	0.341808800000000
cie-x	449.000000000000	0.339094100000000
cie-x	450.000000000000	0.336200000000000
cie-x	451.000000000000	0.333197700000000
cie-x	452.000000000000	0.330041100000000
cie-x	453.000000000000	0.326635700000000
cie-x	454.000000000000	0.322886800000000
cie-x	455.000000000000	0.318700000000000
cie-x	456.000000000000	0.314025100000000
cie-x	457.000000000000	0.308884000000000
cie-x	458.000000000000	0.303290400000000
cie-x	459.000000000000	0.297257900000000
cie-x	460.000000000000	0.290800000000000
cie-x	461.000000000000	0.283970100000000
cie-x	462.000000000000	0.276721400000000
cie-x	463.000000000000	0.268917800000000
cie-x	464.000000000000	0.260422700000000
cie-x	465.000000000000	0.251100000000000
cie-x	466.000000000000	0.240847500000000
cie-x	467.000000000000	0.229851200000000
cie-x	468.000000000000	0.218407200000000
cie-x	469.000000000000	0.206811500000000
cie-x	470.000000000000	0.195360000000000
cie-x	471.000000000000	0.184213600000000
cie-x	472.000000000000	0.173327300000000
cie-x	473.000000000000	0.162688100000000
cie-x	474.000000000000	0.152283300000000
cie-x	475.000000000000	0.142100000000000
cie-x	476.000000000000	0.132178600000000
cie-x	477.000000000000	0.122569600000000
cie-x	478.000000000000	0.113275200000000
cie-x	479.000000000000	0.104297900000000
cie-x	480.000000000000	0.0956400000000000
cie-x	481.000000000000	0.0872995500000000
cie-x	482.000000000000	0.0793080400000000
cie-x	483.000000000000	0.0717177600000000
cie-x	484.000000000000	0.0645809900000000
cie-x	485.000000000000	0.0579500100000000
cie-x	486.000000000000	0.0518621100000000
cie-x	487.000000000000	0.0462815200000000
cie-x	488.000000000000	0.0411508800000000
cie-x	489.000000000000	0.0364128300000000
cie-x	490.000000000000	0.0320100000000000
cie-x	491.000000000000	0.0279172000000000
cie-x	492.000000000000	0.0241444000000000
cie-x	493.000000000000	0.0206870000000000
cie-x	494.000000000000	0.0175404000000000
cie-x	495.000000000000	0.0147000000000000
cie-x	496.000000000000	0.0121617900000000
cie-x	497.000000000000	0.00991996000000000
cie-x	498.000000000000	0.00796724000000000
cie-x	499.000000000000	0.00629634600000000
cie-x	500.000000000000	0.00490000000000000
cie-x	501.000000000000	0.00377717300000000
cie-x	502.000000000000	0.00294532000000000
cie-x	503.000000000000	0.00242488000000000
cie-x	504.000000000000	0.00223629300000000
cie-x	505.000000000000	0.00240000000000000
cie-x	506.000000000000	0.00292552000000000
cie-x	507.000000000000	0.00383656000000000
cie-x	508.000000000000	0.00517484000000000
cie-x	509.000000000000	0.00698208000000000
cie-x	510.000000000000	0.00930000000000000
cie-x	511.000000000000	0.0121494900000000
cie-x	512.000000000000	0.0155358800000000
cie-x	513.000000000000	0.0194775200000000
cie-x	514.000000000000	0.0239927700000000
cie-x	515.000000000000	0.0291000000000000
cie-x	516.000000000000	0.0348148500000000
cie-x	517.000000000000	0.0411201600000000
cie-x	518.000000000000	0.0479850400000000
cie-x	519.000000000000	0.0553786100000000
cie-x	520.000000000000	0.0632700000000000
cie-x	521.000000000000	0.0716350100000000
cie-x	522.000000000000	0.0804622400000000
cie-x	523.000000000000	0.0897399600000000
cie-x	524.000000000000	0.0994564500000000
cie-x	525.000000000000	0.109600000000000
cie-x	526.000000000000	0.120167400000000
cie-x	527.000000000000	0.131114500000000
cie-x	528.000000000000	0.142367900000000
cie-x	529.000000000000	0.153854200000000
cie-x	530.000000000000	0.165500000000000
cie-x	531.000000000000	0.177257100000000
cie-x	532.000000000000	0.189140000000000
cie-x	533.000000000000	0.201169400000000
cie-x	534.000000000000	0.213365800000000
cie-x	535.000000000000	0.225749900000000
cie-x	536.000000000000	0.238320900000000
cie-x	537.000000000000	0.251066800000000
cie-x	538.000000000000	0.263992200000000
cie-x	539.000000000000	0.277101700000000
cie-x	540.000000000000	0.290400000000000
cie-x	541.000000000000	0.303891200000000
cie-x	542.000000000000	0.317572600000000
cie-x	543.000000000000	0.331438400000000
cie-x	544.000000000000	0.345482800000000
cie-x	545.000000000000	0.359700000000000
cie-x	546.000000000000	0.374083900000000
cie-x	547.000000000000	0.388639600000000
cie-x	548.000000000000	0.403378400000000
cie-x	549.000000000000	0.418311500000000
cie-x	550.000000000000	0.433449900000000
cie-x	551.000000000000	0.448795300000000
cie-x	552.000000000000	0.464336000000000
cie-x	553.000000000000	0.480064000000000
cie-x	554.000000000000	0.495971300000000
cie-x	555.000000000000	0.512050100000000
cie-x	556.000000000000	0.528295900000000
cie-x	557.000000000000	0.544691600000000
cie-x	558.000000000000	0.561209400000000
cie-x	559.000000000000	0.577821500000000
cie-x	560.000000000000	0.594500000000000
cie-x	561.000000000000	0.611220900000000
cie-x	562.000000000000	0.627975800000000
cie-x	563.000000000000	0.644760200000000
cie-x	564.000000000000	0.661569700000000
cie-x	565.000000000000	0.678400000000000
cie-x	566.000000000000	0.695239200000000
cie-x	567.000000000000	0.712058600000000
cie-x	568.000000000000	0.728828400000000
cie-x	569.000000000000	0.745518800000000
cie-x	570.000000000000	0.762100000000000
cie-x	571.000000000000	0.778543200000000
cie-x	572.000000000000	0.794825600000000
cie-x	573.000000000000	0.810926400000000
cie-x	574.000000000000	0.826824800000000
cie-x	575.000000000000	0.842500000000000
cie-x	576.000000000000	0.857932500000000
cie-x	577.000000000000	0.873081600000000
cie-x	578.000000000000	0.887894400000000
cie-x	579.000000000000	0.902318100000000
cie-x	580.000000000000	0.916300000000000
cie-x	581.000000000000	0.929799500000000
cie-x	582.000000000000	0.942798400000000
cie-x	583.000000000000	0.955277600000000
cie-x	584.000000000000	0.967217900000000
cie-x	585.000000000000	0.978600000000000
cie-x	586.000000000000	0.989385600000000
cie-x	587.000000000000	0.999548800000000
cie-x	588.000000000000	1.00908920000000
cie-x	589.000000000000	1.01800640000000
cie-x	590.000000000000	1.02630000000000
cie-x	591.000000000000	1.03398270000000
cie-x	592.000000000000	1.04098600000000
cie-x	593.000000000000	1.04718800000000
cie-x	594.000000000000	1.05246670000000
cie-x	595.000000000000	1.05670000000000
cie-x	596.000000000000	1.05979440000000
cie-x	597.000000000000	1.06179920000000
cie-x	598.000000000000	1.06280680000000
cie-x	599.000000000000	1.06290960000000
cie-x	600.000000000000	1.06220000000000
cie-x	601.000000000000	1.06073520000000
cie-x	602.000000000000	1.05844360000000
cie-x	603.000000000000	1.05522440000000
cie-x	604.000000000000	1.05097680000000
cie-x	605.000000000000	1.04560000000000
cie-x	606.000000000000	1.03903690000000
cie-x	607.000000000000	1.03136080000000
cie-x	608.000000000000	1.02266620000000
cie-x	609.000000000000	1.01304770000000
cie-x	610.000000000000	1.00260000000000
cie-x	611.000000000000	0.991367500000000
cie-x	612.000000000000	0.979331400000000
cie-x	613.000000000000	0.966491600000000
cie-x	614.000000000000	0.952847900000000
cie-x	615.000000000000	0.938400000000000
cie-x	616.000000000000	0.923194000000000
cie-x	617.000000000000	0.907244000000000
cie-x	618.000000000000	0.890502000000000
cie-x	619.000000000000	0.872920000000000
cie-x	620.000000000000	0.854449900000000
cie-x	621.000000000000	0.835084000000000
cie-x	622.000000000000	0.814946000000000
cie-x	623.000000000000	0.794186000000000
cie-x	624.000000000000	0.772954000000000
cie-x	625.000000000000	0.751400000000000
cie-x	626.000000000000	0.729583600000000
cie-x	627.000000000000	0.707588800000000
cie-x	628.000000000000	0.685602200000000
cie-x	629.000000000000	0.663810400000000
cie-x	630.000000000000	0.642400000000000
cie-x	631.000000000000	0.621514900000000
cie-x	632.000000000000	0.601113800000000
cie-x	633.000000000000	0.581105200000000
cie-x	634.000000000000	0.561397700000000
cie-x	635.000000000000	0.541900000000000
cie-x	636.000000000000	0.522599500000000
cie-x	637.000000000000	0.503546400000000
cie-x	638.000000000000	0.484743600000000
cie-x	639.000000000000	0.466193900000000
cie-x	640.000000000000	0.447900000000000
cie-x	641.000000000000	0.429861300000000
cie-x	642.000000000000	0.412098000000000
cie-x	643.000000000000	0.394644000000000
cie-x	644.000000000000	0.377533300000000
cie-x	645.000000000000	0.360800000000000
cie-x	646.000000000000	0.344456300000000
cie-x	647.000000000000	0.328516800000000
cie-x	648.000000000000	0.313019200000000
cie-x	649.000000000000	0.298001100000000
cie-x	650.000000000000	0.283500000000000
cie-x	651.000000000000	0.269544800000000
cie-x	652.000000000000	0.256118400000000
cie-x	653.000000000000	0.243189600000000
cie-x	654.000000000000	0.230727200000000
cie-x	655.000000000000	0.218700000000000
cie-x	656.000000000000	0.207097100000000
cie-x	657.000000000000	0.195923200000000
cie-x	658.000000000000	0.185170800000000
cie-x	659.000000000000	0.174832300000000
cie-x	660.000000000000	0.164900000000000
cie-x	661.000000000000	0.155366700000000
cie-x	662.000000000000	0.146230000000000
cie-x	663.000000000000	0.137490000000000
cie-x	664.000000000000	0.129146700000000
cie-x	665.000000000000	0.121200000000000
cie-x	666.000000000000	0.113639700000000
cie-x	667.000000000000	0.106465000000000
cie-x	668.000000000000	0.0996904400000000
cie-x	669.000000000000	0.0933306100000000
cie-x	670.000000000000	0.0874000000000000
cie-x	671.000000000000	0.0819009600000000
cie-x	672.000000000000	0.0768042800000000
cie-x	673.000000000000	0.0720771200000000
cie-x	674.000000000000	0.0676866400000000
cie-x	675.000000000000	0.0636000000000000
cie-x	676.000000000000	0.0598068500000000
cie-x	677.000000000000	0.0562821600000000
cie-x	678.000000000000	0.0529710400000000
cie-x	679.000000000000	0.0498186100000000
cie-x	680.000000000000	0.0467700000000000
cie-x	681.000000000000	0.0437840500000000
cie-x	682.000000000000	0.0408753600000000
cie-x	683.000000000000	0.0380726400000000
cie-x	684.000000000000	0.0354046100000000
cie-x	685.000000000000	0.0329000000000000
cie-x	686.000000000000	0.0305641900000000
cie-x	687.000000000000	0.0283805600000000
cie-x	688.000000000000	0.0263448400000000
cie-x	689.000000000000	0.0244527500000000
cie-x	690.000000000000	0.0227000000000000
cie-x	691.000000000000	0.0210842900000000
cie-x	692.000000000000	0.0195998800000000
cie-x	693.000000000000	0.0182373200000000
cie-x	694.000000000000	0.0169871700000000
cie-x	695.000000000000	0.0158400000000000
cie-x	696.000000000000	0.0147906400000000
cie-x	697.000000000000	0.0138313200000000
cie-x	698.000000000000	0.0129486800000000
cie-x	699.000000000000	0.0121292000000000
cie-x	700.000000000000	0.0113591600000000
cie-x	701.000000000000	0.0106293500000000
cie-x	702.000000000000	0.00993884600000000
cie-x	703.000000000000	0.00928842200000000
cie-x	704.000000000000	0.00867885400000000
cie-x	705.000000000000	0.00811091600000000
cie-x	706.000000000000	0.00758238800000000
cie-x	707.000000000000	0.00708874600000000
cie-x	708.000000000000	0.00662731300000000
cie-x	709.000000000000	0.00619540800000000
cie-x	710.000000000000	0.00579034600000000
cie-x	711.000000000000	0.00540982600000000
cie-x	712.000000000000	0.00505258300000000
cie-x	713.000000000000	0.00471751200000000
cie-x	714.000000000000	0.00440350700000000
cie-x	715.000000000000	0.00410945700000000
cie-x	716.000000000000	0.00383391300000000
cie-x	717.000000000000	0.00357574800000000
cie-x	718.000000000000	0.00333434200000000
cie-x	719.000000000000	0.00310907500000000
cie-x	720.000000000000	0.00289932700000000
cie-x	721.000000000000	0.00270434800000000
cie-x	722.000000000000	0.00252302000000000
cie-x	723.000000000000	0.00235416800000000
cie-x	724.000000000000	0.00219661600000000
cie-x	725.000000000000	0.00204919000000000
cie-x	726.000000000000	0.00191096000000000
cie-x	727.000000000000	0.00178143800000000
